Province/State,Country/Region,Latitude,Longitude,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Case_Fatality_Rate,Recovery_Rate
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,14,Western Pacific,0.0,0.0
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,6,Western Pacific,0.0,0.0
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,26,Western Pacific,0.0,0.0
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0
Hebei,China,39.549,116.1306,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Henan,China,37.8957,114.9042,2020-01-22,5,0,0,5,Western Pacific,0.0,0.0
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,399,Western Pacific,0.038288288288288286,0.06306306306306306
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0
Macau,China,22.1667,113.55,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0
Shanghai,China,31.202,121.4491,2020-01-22,9,0,0,9,Western Pacific,0.0,0.0
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,5,Western Pacific,0.0,0.0
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0
Yunnan,China,24.974,101.487,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,10,Western Pacific,0.0,0.0
Unknown,Japan,36.204824,138.252924,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0
Unknown,South Korea,35.907757,127.766922,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Unknown,Taiwan*,23.7,121.0,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0
Unknown,Thailand,15.870032,100.992541,2020-01-22,2,0,0,2,South-East Asia,0.0,0.0
Unknown,US,40.0,-100.0,2020-01-22,1,0,0,1,Americas,0.0,0.0
Anhui,China,31.8257,117.2264,2020-01-23,9,0,0,9,Western Pacific,0.0,0.0
Beijing,China,40.1824,116.4142,2020-01-23,22,0,0,22,Western Pacific,0.0,0.0
Chongqing,China,30.0572,107.874,2020-01-23,9,0,0,9,Western Pacific,0.0,0.0
Fujian,China,26.0789,117.9874,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0
Gansu,China,35.7518,104.2861,2020-01-23,2,0,0,2,Western Pacific,0.0,0.0
Guangdong,China,23.3417,113.4244,2020-01-23,32,0,2,30,Western Pacific,0.0,0.0625
Guangxi,China,23.8298,108.7881,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0
Guizhou,China,26.8154,106.8748,2020-01-23,3,0,0,3,Western Pacific,0.0,0.0
Hainan,China,19.1959,109.7453,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0
